"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"249",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.85,55
"250",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.9,55
"251",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.95,55
"252",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.975,55
"253",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.99,55
"254",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.01,49
"255",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.025,49
"256",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.05,49
"257",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.1,49
"258",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.15,49
"259",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.2,49
"260",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.25,49
"261",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.3,49
"262",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.35,49
"263",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.4,49
"264",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.45,49
"265",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.5,49
"266",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.55,49
"267",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.6,49
"268",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.65,49
"269",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.7,49
"270",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.75,49
"271",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.8,49
"272",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.85,49
"273",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.9,49
"274",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.95,49
"275",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.975,49
"276",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"15","quantile",0.99,49
"277",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.01,46
"278",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.025,46
"279",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.05,46
"280",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.1,46
"281",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.15,46
"282",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.2,46
"283",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.25,46
"284",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.3,46
"285",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.35,46
"286",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.4,46
"287",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.45,46
"288",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.5,46
"289",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.55,46
"290",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.6,46
"291",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.65,46
"292",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.7,46
"293",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.75,46
"294",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.8,46
"295",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.85,46
"296",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.9,46
"297",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.95,46
"298",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.975,46
"299",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"16","quantile",0.99,46
"300",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"17","quantile",0.01,97
"301",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"17","quantile",0.025,97
"302",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"17","quantile",0.05,97
"303",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"17","quantile",0.1,97
"304",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"17","quantile",0.15,97
